"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VLF0","VLF",1843,0,0,0,0,0,0,0
"VLF1","VLF",1843,0,0,0,0,0,0,0
"VUF0","VUF",1843,0,0,0,0,0,0,0
"VUF1","VUF",1843,0,0,0,0,0,0,0
"VLF0","VLF",1844,0,0,0,0,0,0,0
"VLF1","VLF",1844,0,0,0,0,0,0,0
"VUF0","VUF",1844,0,0,0,0,0,0,0
"VUF1","VUF",1844,0,0,0,0,0,0,0
"VLF0","VLF",1845,0,0,0,0,0,0,0
"VLF1","VLF",1845,0,0,0,0,0,0,0
"VUF0","VUF",1845,0,0,0,0,0,0,0
"VUF1","VUF",1845,0,0,0,0,0,0,0
"VLF0","VLF",1846,0,0,0,0,0,0,0
"VLF1","VLF",1846,0,0,0,0,0,0,0
"VUF0","VUF",1846,0,0,0,0,0,0,0
"VUF1","VUF",1846,0,0,0,0,0,0,0
"VLF0","VLF",1847,0,0,0,0,0,0,0
"VLF1","VLF",1847,0,0,0,0,0,0,0
"VUF0","VUF",1847,0,0,0,0,0,0,0
"VUF1","VUF",1847,0,0,0,0,0,0,0
"VLF0","VLF",1848,0,0,0,0,0,0,0
"VLF1","VLF",1848,0,0,0,0,0,0,0
"VUF0","VUF",1848,0,0,0,0,0,0,0
"VUF1","VUF",1848,0,0,0,0,0,0,0
"VLF0","VLF",1849,0,0,0,0,0,0,0
"VLF1","VLF",1849,0,0,0,0,0,0,0
"VUF0","VUF",1849,0,0,0,0,0,0,0
"VUF1","VUF",1849,0,0,0,0,0,0,0
"VLF0","VLF",1850,0,0,0,0,0,0,0
"VLF1","VLF",1850,0,0,0,0,0,0,0
"VUF0","VUF",1850,0,0,0,0,0,0,0
"VUF1","VUF",1850,0,0,0,0,0,0,0
"VLF0","VLF",1851,0,0,0,0,0,0,0
"VLF1","VLF",1851,0,0,0,0,0,0,0
"VUF0","VUF",1851,0,0,0,0,0,0,0
"VUF1","VUF",1851,0,0,0,0,0,0,0
"VLF0","VLF",1852,0,0,0,0,0,0,0
"VLF1","VLF",1852,0,0,0,0,0,0,0
"VUF0","VUF",1852,0,0,0,0,0,0,0
"VUF1","VUF",1852,0,0,0,0,0,0,0
"VLF0","VLF",1853,0,0,0,0,0,0,0
"VLF1","VLF",1853,0,0,0,0,0,0,0
"VUF0","VUF",1853,0,0,0,0,0,0,0
"VUF1","VUF",1853,0,0,0,0,0,0,0
"VLF0","VLF",1854,0,0,0,0,0,0,0
"VLF1","VLF",1854,0,0,0,0,0,0,0
"VUF0","VUF",1854,0,0,0,0,0,0,0
"VUF1","VUF",1854,0,0,0,0,0,0,0
"VLF0","VLF",1855,0,0,0,0,0,0,0
"VLF1","VLF",1855,0,0,0,0,0,0,0
"VUF0","VUF",1855,0,0,0,0,0,0,0
"VUF1","VUF",1855,0,0,0,0,0,0,0
