"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major","time.Minor","time.Major","peak.Minor.mag","peak.Major.mag","peak.Minor.ext","peak.Major.ext"
"VLF0","VLF",1843,0,0,0,0,0,0,0,0,0,0,0,0,0
"VLF1","VLF",1843,0,0,0,0,0,0,0,0,0,0,0,0,0
"VUF0","VUF",1843,0,0,0,0,0,0,0,0,0,0,0,0,0
"VUF1","VUF",1843,0,0,0,0,0,0,0,0,0,0,0,0,0
"VLF0","VLF",1844,0,0,0,0,0,0,0,1,1,0,0,0,0
"VLF1","VLF",1844,0,0,0,0,0,0,0,1,1,0,0,0,0
"VUF0","VUF",1844,0,0,0,0,0,0,0,1,1,0,0,0,0
"VUF1","VUF",1844,0,0,0,0,0,0,0,1,1,0,0,0,0
"VLF0","VLF",1845,0,0,0,0,0,0,0,2,2,0,0,0,0
"VLF1","VLF",1845,0,0,0,0,0,0,0,2,2,0,0,0,0
"VUF0","VUF",1845,0,0,0,0,0,0,0,2,2,0,0,0,0
"VUF1","VUF",1845,0,0,0,0,0,0,0,2,2,0,0,0,0
"VLF0","VLF",1846,0,0,0,0,0,0,0,3,3,0,0,0,0
"VLF1","VLF",1846,0,0,0,0,0,0,0,3,3,0,0,0,0
"VUF0","VUF",1846,0,0,0,0,0,0,0,3,3,0,0,0,0
"VUF1","VUF",1846,0,0,0,0,0,0,0,3,3,0,0,0,0
"VLF0","VLF",1847,0,0,0,0,0,0,0,4,4,0,0,0,0
"VLF1","VLF",1847,0,0,0,0,0,0,0,4,4,0,0,0,0
"VUF0","VUF",1847,0,0,0,0,0,0,0,4,4,0,0,0,0
"VUF1","VUF",1847,0,0,0,0,0,0,0,4,4,0,0,0,0
"VLF0","VLF",1848,0,0,0,0,0,0,0,5,5,0,0,0,0
"VLF1","VLF",1848,0,0,0,0,0,0,0,5,5,0,0,0,0
"VUF0","VUF",1848,0,0,0,0,0,0,0,5,5,0,0,0,0
"VUF1","VUF",1848,0,0,0,0,0,0,0,5,5,0,0,0,0
"VLF0","VLF",1849,0,0,0,0,0,0,0,6,6,0,0,0,0
"VLF1","VLF",1849,0,0,0,0,0,0,0,6,6,0,0,0,0
"VUF0","VUF",1849,0,0,0,0,0,0,0,6,6,0,0,0,0
"VUF1","VUF",1849,0,0,0,0,0,0,0,6,6,0,0,0,0
"VLF0","VLF",1850,0,0,0,0,0,0,0,7,7,0,0,0,0
"VLF1","VLF",1850,0,0,0,0,0,0,0,7,7,0,0,0,0
"VUF0","VUF",1850,0,0,0,0,0,0,0,7,7,0,0,0,0
"VUF1","VUF",1850,0,0,0,0,0,0,0,7,7,0,0,0,0
"VLF0","VLF",1851,0,0,0,0,0,0,0,8,8,0,0,0,0
"VLF1","VLF",1851,0,0,0,0,0,0,0,8,8,0,0,0,0
"VUF0","VUF",1851,0,0,0,0,0,0,0,8,8,0,0,0,0
"VUF1","VUF",1851,0,0,0,0,0,0,0,8,8,0,0,0,0
"VLF0","VLF",1852,0,0,0,0,0,0,0,9,9,0,0,0,0
"VLF1","VLF",1852,0,0,0,0,0,0,0,9,9,0,0,0,0
"VUF0","VUF",1852,0,0,0,0,0,0,0,9,9,0,0,0,0
"VUF1","VUF",1852,0,0,0,0,0,0,0,9,9,0,0,0,0
"VLF0","VLF",1853,0,0,0,0,0,0,0,10,10,0,0,0,0
"VLF1","VLF",1853,0,0,0,0,0,0,0,10,10,0,0,0,0
"VUF0","VUF",1853,0,0,0,0,0,0,0,10,10,0,0,0,0
"VUF1","VUF",1853,0,0,0,0,0,0,0,10,10,0,0,0,0
"VLF0","VLF",1854,0,0,0,0,0,0,0,11,11,0,0,0,0
"VLF1","VLF",1854,0,0,0,0,0,0,0,11,11,0,0,0,0
"VUF0","VUF",1854,0,0,0,0,0,0,0,11,11,0,0,0,0
"VUF1","VUF",1854,0,0,0,0,0,0,0,11,11,0,0,0,0
"VLF0","VLF",1855,0,0,0,0,0,0,0,12,12,0,0,0,0
"VLF1","VLF",1855,0,0,0,0,0,0,0,12,12,0,0,0,0
"VUF0","VUF",1855,0,0,0,0,0,0,0,12,12,0,0,0,0
"VUF1","VUF",1855,0,0,0,0,0,0,0,12,12,0,0,0,0
"VLF0","VLF",1856,0,0,0,0,0,0,0,13,13,0,0,0,0
"VLF1","VLF",1856,0,0,0,0,0,0,0,13,13,0,0,0,0
"VUF0","VUF",1856,0,0,0,0,0,0,0,13,13,0,0,0,0
"VUF1","VUF",1856,0,0,0,0,0,0,0,13,13,0,0,0,0
"VLF0","VLF",1857,0,0,0,0,0,0,0,14,14,0,0,0,0
"VLF1","VLF",1857,0,0,0,0,0,0,0,14,14,0,0,0,0
"VUF0","VUF",1857,0,0,0,0,0,0,0,14,14,0,0,0,0
"VUF1","VUF",1857,0,0,0,0,0,0,0,14,14,0,0,0,0
"VLF0","VLF",1858,0,0,0,0,0,0,0,15,15,0,0,0,0
"VLF1","VLF",1858,0,0,0,0,0,0,0,15,15,0,0,0,0
"VUF0","VUF",1858,0,0,0,0,0,0,0,15,15,0,0,0,0
"VUF1","VUF",1858,0,0,0,0,0,0,0,15,15,0,0,0,0
"VLF0","VLF",1859,0,0,0,0,0,0,0,16,16,0,0,0,0
"VLF1","VLF",1859,0,0,0,0,0,0,0,16,16,0,0,0,0
"VUF0","VUF",1859,0,0,0,0,0,0,0,16,16,0,0,0,0
"VUF1","VUF",1859,0,0,0,0,0,0,0,16,16,0,0,0,0
"VLF0","VLF",1860,0,0,0,0,0,0,0,17,17,0,0,0,0
"VLF1","VLF",1860,0,0,0,0,0,0,0,17,17,0,0,0,0
"VUF0","VUF",1860,0,0,0,0,0,0,0,17,17,0,0,0,0
"VUF1","VUF",1860,0,0,0,0,0,0,0,17,17,0,0,0,0
"VLF0","VLF",1861,0,0,0,0,0,0,0,18,18,0,0,0,0
"VLF1","VLF",1861,0,0,0,0,0,0,0,18,18,0,0,0,0
"VUF0","VUF",1861,0,0,0,0,0,0,0,18,18,0,0,0,0
"VUF1","VUF",1861,0,0,0,0,0,0,0,18,18,0,0,0,0
"VLF0","VLF",1862,0,0,0,0,0,0,0,19,19,0,0,0,0
"VLF1","VLF",1862,0,0,0,0,0,0,0,19,19,0,0,0,0
"VUF0","VUF",1862,0,0,0,0,0,0,0,19,19,0,0,0,0
"VUF1","VUF",1862,0,0,0,0,0,0,0,19,19,0,0,0,0
"VLF0","VLF",1863,0,0,0,0,0,0,0,20,20,0,0,0,0
"VLF1","VLF",1863,0,0,0,0,0,0,0,20,20,0,0,0,0
"VUF0","VUF",1863,0,0,0,0,0,0,0,20,20,0,0,0,0
"VUF1","VUF",1863,0,0,0,0,0,0,0,20,20,0,0,0,0
"VLF0","VLF",1864,0,0,0,0,0,0,0,21,21,0,0,0,0
"VLF1","VLF",1864,0,0,0,0,0,0,0,21,21,0,0,0,0
"VUF0","VUF",1864,0,0,0,0,0,0,0,21,21,0,0,0,0
"VUF1","VUF",1864,0,0,0,0,0,0,0,21,21,0,0,0,0
"VLF0","VLF",1865,0,0,0,0,0,0,0,22,22,0,0,0,0
"VLF1","VLF",1865,0,0,0,0,0,0,0,22,22,0,0,0,0
"VUF0","VUF",1865,0,0,0,0,0,0,0,22,22,0,0,0,0
"VUF1","VUF",1865,0,0,0,0,0,0,0,22,22,0,0,0,0
"VLF0","VLF",1866,0,0,0,0,0,0,0,23,23,0,0,0,0
"VLF1","VLF",1866,0,0,0,0,0,0,0,23,23,0,0,0,0
"VUF0","VUF",1866,0,0,0,0,0,0,0,23,23,0,0,0,0
"VUF1","VUF",1866,0,0,0,0,0,0,0,23,23,0,0,0,0
"VLF0","VLF",1867,0,0,0,0,0,0,0,24,24,0,0,0,0
"VLF1","VLF",1867,0,0,0,0,0,0,0,24,24,0,0,0,0
"VUF0","VUF",1867,0,0,0,0,0,0,0,24,24,0,0,0,0
"VUF1","VUF",1867,0,0,0,0,0,0,0,24,24,0,0,0,0
"VLF0","VLF",1868,0,0,0,0,0,0,0,25,25,0,0,0,0
"VLF1","VLF",1868,0,0,0,0,0,0,0,25,25,0,0,0,0
"VUF0","VUF",1868,0,0,0,0,0,0,0,25,25,0,0,0,0
"VUF1","VUF",1868,0,0,0,0,0,0,0,25,25,0,0,0,0
"VLF0","VLF",1869,0,0,0,0,0,0,0,26,26,0,0,0,0
"VLF1","VLF",1869,0,0,0,0,0,0,0,26,26,0,0,0,0
"VUF0","VUF",1869,0,0,0,0,0,0,0,26,26,0,0,0,0
"VUF1","VUF",1869,0,0,0,0,0,0,0,26,26,0,0,0,0
"VLF0","VLF",1870,0,0,0,0,0,0,0,27,27,0,0,0,0
"VLF1","VLF",1870,0,0,0,0,0,0,0,27,27,0,0,0,0
"VUF0","VUF",1870,0,0,0,0,0,0,0,27,27,0,0,0,0
"VUF1","VUF",1870,0,0,0,0,0,0,0,27,27,0,0,0,0
"VLF0","VLF",1871,0,0,0,0,0,0,0,28,28,0,0,0,0
"VLF1","VLF",1871,0,0,0,0,0,0,0,28,28,0,0,0,0
"VUF0","VUF",1871,0,0,0,0,0,0,0,28,28,0,0,0,0
"VUF1","VUF",1871,0,0,0,0,0,0,0,28,28,0,0,0,0
"VLF0","VLF",1872,0,0,0,0,0,0,0,29,29,0,0,0,0
"VLF1","VLF",1872,0,0,0,0,0,0,0,29,29,0,0,0,0
"VUF0","VUF",1872,0,0,0,0,0,0,0,29,29,0,0,0,0
"VUF1","VUF",1872,0,0,0,0,0,0,0,29,29,0,0,0,0
"VLF0","VLF",1873,0,0,0,0,0,0,0,30,30,0,0,0,0
"VLF1","VLF",1873,0,0,0,0,0,0,0,30,30,0,0,0,0
"VUF0","VUF",1873,0,0,0,0,0,0,0,30,30,0,0,0,0
"VUF1","VUF",1873,0,0,0,0,0,0,0,30,30,0,0,0,0
"VLF0","VLF",1874,0,0,0,0,0,0,0,31,31,0,0,0,0
"VLF1","VLF",1874,0,0,0,0,0,0,0,31,31,0,0,0,0
"VUF0","VUF",1874,0,0,0,0,0,0,0,31,31,0,0,0,0
"VUF1","VUF",1874,0,0,0,0,0,0,0,31,31,0,0,0,0
"VLF0","VLF",1875,0,0,0,0,0,0,0,32,32,0,0,0,0
"VLF1","VLF",1875,0,0,0,0,0,0,0,32,32,0,0,0,0
"VUF0","VUF",1875,0,0,0,0,0,0,0,32,32,0,0,0,0
