year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1901,,,,11.81369,11.71897,13.1845,13.24941,13.48636,14.14195,13.66742,13.51897,13.84351,13.53047,13.07705,12.30437,13.30675667,13.76524333
1902,13.53047,13.07705,12.30437,12.04785,11.98015,12.52642,13.26153,13.63139,14.06617,13.65872,13.77332,13.91835,13.67302,12.35189,11.1904,13.13978,13.78542667
1903,13.67302,12.35189,11.1904,11.62332,11.71741,11.95623,13.06153,13.28388,13.57332,13.42021,13.4168,13.65841,13.83761,12.95965,12.23232,12.76721333,13.42580333
1904,13.83761,12.95965,12.23232,11.89816,12.18512,12.46462,13.16867,13.54661,13.74599,13.46152,13.26028,13.67953,13.56028,13.31897,11.59319,13.05996667,13.58470667
1905,13.56028,13.31897,11.59319,11.18605,11.2171,12.08884,12.85531,13.20065,13.79381,13.21524,13.29661,13.78885,13.6637,12.74102,11.23449,12.71493333,13.40323333
1906,13.6637,12.74102,11.23449,11.51307,11.74971,12.33387,13.51122,13.63264,13.89474,13.04878,13.08108,13.28947,13.63264,12.6435,10.99723,13.15924333,13.52538667
1907,13.63264,12.6435,10.99723,11.00593,11.8845,12.79443,13.1196,13.46307,13.90717,13.52083,13.27767,13.82394,13.08575,12.40499,11.78015,13.1257,13.63035667
1908,13.08575,12.40499,11.78015,11.59506,11.53636,12.55996,12.96339,13.39382,13.92829,13.15624,13.11338,14.07084,13.70438,13.24351,11.61555,12.97239,13.49278333
1909,13.70438,13.24351,11.61555,11.26058,12.14412,12.26493,13.34165,13.69816,13.5081,13.25717,13.34972,13.7696,14.13699,13.06059,11.38046,13.10158,13.48781
1910,14.13699,13.06059,11.38046,11.63295,12.20623,13.07301,13.396,13.56183,13.83015,13.27798,13.27518,13.68947,13.69941,13.18233,11.71648,13.34361333,13.55665333
1911,13.69941,13.18233,11.71648,11.38357,11.47176,12.10903,12.72208,13.6199,13.94878,13.07518,13.21649,13.40562,13.27115,12.84257,11.55313,12.81700333,13.54795333
1912,13.27115,12.84257,11.55313,11.87736,12.22301,12.17735,13.09538,13.60965,13.84816,13.19599,13.48202,13.84382,13.59103,13.21276,11.57083,12.96079333,13.55126667
1913,13.59103,13.21276,11.57083,11.54288,11.54257,12.90437,13.23358,13.81245,13.764,13.53854,13.71214,13.68699,13.15935,12.50748,11.21679,13.3168,13.70499667
1914,13.15935,12.50748,11.21679,11.57735,12.02766,12.89195,13.23171,13.35251,13.75996,13.35313,13.24195,13.58046,13.10407,12.54972,10.7553,13.15872333,13.48853333
1915,13.10407,12.54972,10.7553,11.48947,11.53325,12.25934,12.78016,13.41959,13.51648,13.2258,13.2317,13.33916,13.75469,13.34599,12.08015,12.81969667,13.38729
1916,13.75469,13.34599,12.08015,11.10748,11.72145,12.9112,12.9814,13.85531,13.82922,13.39723,13.3491,13.79568,13.66649,13.40655,12.21928,13.24930333,13.69392
1917,13.66649,13.40655,12.21928,11.69568,12.39009,13.10686,13.79165,13.44195,14.01493,13.34692,13.47052,13.49227,14.01277,13.40841,12.06182,13.44682,13.60126667
1918,14.01277,13.40841,12.06182,11.88574,12.24133,12.59412,12.89072,13.60375,13.83853,13.51897,13.71897,13.74848,13.36742,12.4258,11.10996,13.02953,13.65375
1919,13.36742,12.4258,11.10996,11.54071,11.61244,12.53543,13.35314,13.23792,13.6904,13.2581,13.58015,13.72798,13.00438,13.11835,11.65903,13.04216333,13.39547333
1920,13.00438,13.11835,11.65903,11.27176,11.19536,12.34195,12.97954,13.42736,13.62984,13.39133,13.29319,13.41866,13.68482,12.22518,11.35095,12.91628333,13.48284333
1921,13.68482,12.22518,11.35095,11.29288,11.98791,12.38139,13.05966,13.28512,13.47052,13.05096,13.30903,13.66649,14.17674,13.07767,11.32984,12.90872333,13.26886667
1922,14.17674,13.07767,11.32984,11.08605,11.65033,12.43015,13.12084,13.38605,13.9227,13.35748,13.62829,14.06991,14.18389,12.88822,11.59226,12.97901333,13.55541
1923,14.18389,12.88822,11.59226,11.63139,11.47176,12.59754,12.7109,13.38574,13.55189,13.35965,13.46773,13.38978,13.47457,12.88574,11.4963,12.89806,13.43242667
1924,13.47457,12.88574,11.4963,12.06307,11.81307,11.92394,13.24258,13.75065,14.00624,13.40282,13.81928,14.03233,14.21122,13.46214,11.59381,12.97239,13.71990333
1925,14.21122,13.46214,11.59381,11.90065,12.80965,13.43264,13.51308,13.77736,13.8845,13.34661,13.63574,13.80935,12.92985,12.94288,12.21804,13.57436,13.66949
1926,12.92985,12.94288,12.21804,11.67673,12.17238,12.48543,13.2078,13.65003,14.06089,13.49661,13.54226,13.40407,13.65966,13.00251,11.21151,13.11442,13.73584333
1927,13.65966,13.00251,11.21151,11.37456,11.45996,12.40686,13.05159,13.71338,13.88201,13.21618,12.99195,13.54009,14.22768,13.01804,11.39505,13.05727667,13.60385667
1928,14.22768,13.01804,11.39505,11.51866,11.86307,12.23108,13.23451,13.61245,13.72549,13.34879,13.26493,13.92053,13.41463,12.5199,11.36369,13.02601333,13.56224333
1929,13.41463,12.5199,11.36369,11.31027,11.43201,12.34009,13.346,13.1199,13.96462,13.17052,13.59102,13.29661,13.20407,12.6109,11.54133,12.93533,13.41834667
1930,13.20407,12.6109,11.54133,11.21307,12.08543,12.61742,12.78854,13.3345,13.81524,13.63667,13.69816,13.76711,13.32053,12.67922,11.44536,12.91348667,13.59547
1931,13.32053,12.67922,11.44536,11.1376,10.82456,12.7171,12.74507,13.14444,13.84009,13.18077,13.16773,13.8168,13.80935,12.07704,10.88387,12.86887,13.38843333
1932,13.80935,12.07704,10.88387,10.86121,11.66182,12.44661,13.65035,13.60344,13.66928,13.4463,13.21524,13.40593,13.92022,13.20624,11.11586,13.23346667,13.57300667
1933,13.92022,13.20624,11.11586,11.2022,12.2876,12.39537,13.19041,13.59972,14.00096,13.19847,13.1963,13.84506,13.36712,13.2376,11.58077,13.06183333,13.59971667
1934,13.36712,13.2376,11.58077,11.48791,12.07611,13.2494,12.93171,13.43791,14.06617,13.38729,13.15717,13.28947,13.65003,12.6758,11.13449,13.20634,13.63045667
1935,13.65003,12.6758,11.13449,11.22611,11.89723,12.864,12.88389,13.25903,13.85344,13.22146,13.30437,13.61214,13.51215,11.35872,10.91369,13.00230667,13.44464333
1936,13.51215,11.35872,10.91369,12.04381,11.60841,12.74475,13.27426,13.52301,14.10437,13.54133,13.57084,13.5022,13.79258,13.37922,11.32953,13.18067333,13.72290333
1937,13.79258,13.37922,11.32953,10.83201,11.74133,12.58667,13.16867,13.58698,13.51214,13.29568,13.34133,13.46773,13.17612,12.66928,11.84785,13.11410667,13.46493333
1938,13.17612,12.66928,11.84785,11.46276,11.81058,12.29443,13.51805,13.46524,13.17332,13.16711,13.45065,13.45779,13.89507,13.35127,11.46245,13.09257333,13.26855667
1939,13.89507,13.35127,11.46245,11.72208,12.0376,12.6845,13.11649,13.96804,13.94475,13.40282,13.63015,13.97177,14.18575,12.98046,12.41897,13.25634333,13.77187
1940,14.18575,12.98046,12.41897,11.08698,11.30779,12.82052,13.64258,14.12053,14.03698,13.36121,13.02363,13.45997,14.08171,12.78139,11.98419,13.52787667,13.83957333
1941,14.08171,12.78139,11.98419,11.55655,11.83046,12.53822,13.09693,13.78108,13.73325,13.39599,13.25003,13.75345,13.62208,13.15686,11.50437,13.13874333,13.63677333
1942,13.62208,13.15686,11.50437,12.14475,11.36462,12.81058,13.58792,13.69382,13.8963,13.65407,13.40003,13.80127,13.40314,13.10872,11.70251,13.36410667,13.74806333
1943,13.40314,13.10872,11.70251,12.05096,12.55779,11.89723,13.32333,13.40996,13.50251,13.54754,13.69941,13.80034,13.86805,13.53201,11.47611,12.87684,13.48667
1944,13.86805,13.53201,11.47611,11.43574,12.09971,13.36245,12.996,13.59879,13.90344,13.73015,13.59351,13.84382,13.62146,12.02083,11.30033,13.31908,13.74412667
1945,13.62146,12.02083,11.30033,11.3699,11.59474,12.70624,13.56587,14.11028,13.92642,13.55624,13.45251,13.52612,13.87426,12.76835,11.82828,13.46079667,13.86431333
1946,13.87426,12.76835,11.82828,11.83947,13.00655,12.32114,13.65438,13.47115,13.84661,13.50003,13.2963,13.91804,13.70718,12.81059,11.65592,13.14889,13.60593
1947,13.70718,12.81059,11.65592,10.94257,12.62735,13.50872,13.73513,13.81059,13.85189,13.73636,13.48854,13.82798,13.19444,12.83978,12.2463,13.68481333,13.79961333
1948,13.19444,12.83978,12.2463,12.52829,11.96214,11.98636,13.0637,13.69009,13.82704,13.44009,13.55096,13.81369,14.23202,13.21462,11.38015,12.91338333,13.65240667
1949,14.23202,13.21462,11.38015,11.25624,11.69009,12.07207,12.98389,13.40903,13.26772,12.93916,13.31649,13.44071,13.30159,13.77674,11.80499,12.82166333,13.20530333
1950,13.30159,13.77674,11.80499,11.83015,12.30375,12.84071,13.57736,13.5758,13.70096,13.03481,13.51835,13.31773,13.51556,13.38667,12.39847,13.33129,13.43719
1951,13.51556,13.38667,12.39847,12.08916,12.14226,13.28791,13.36929,13.93699,14.00996,13.41959,13.864,14.10189,13.37208,12.69878,12.09723,13.53139667,13.78884667
1952,13.37208,12.69878,12.09723,11.92984,11.81089,12.35996,13.16743,13.63295,14.2376,13.49288,13.62146,14.27115,15.34693,12.59785,11.74381,13.05344667,13.78781
1953,15.34693,12.59785,11.74381,12.39351,12.96586,12.53294,13.26805,13.70997,13.9758,13.15127,13.22146,14.43916,13.93637,12.45437,10.9789,13.17032,13.61234667
1954,13.93637,12.45437,10.9789,11.42829,12.3845,12.33356,12.9668,13.41183,13.74568,13.29257,13.40748,14.02705,13.86587,12.88822,11.06213,12.90406333,13.48336
1955,13.86587,12.88822,11.06213,11.62735,13.06617,12.51151,13.09941,13.38605,13.79133,13.36369,13.45158,13.68668,13.95966,13.96369,12.13077,12.99899,13.51369
1956,13.95966,13.96369,12.13077,11.66058,12.12487,12.5022,13.29972,13.914,13.66524,13.65096,13.82953,14.35779,14.02178,14.155,12.18388,13.23864,13.7434
1957,14.02178,14.155,12.18388,10.56617,11.43418,12.51617,12.47115,12.6786,13.23015,13.17456,13.54071,13.80624,12.82022,11.86089,11.74071,12.55530667,13.02777
1958,12.82022,11.86089,11.74071,11.41648,12.9199,12.35872,12.95531,13.52394,13.84506,13.09816,13.02984,13.41897,13.41525,12.72208,11.90779,12.94599,13.48905333
1959,13.41525,12.72208,11.90779,12.06338,11.36866,12.87518,13.61308,12.76338,13.60282,13.26587,13.0817,13.98357,13.74351,12.66121,11.573,13.08388,13.21069
1960,13.74351,12.66121,11.573,11.93729,12.76369,12.24381,13.06215,14.02922,13.85748,13.1609,13.60282,13.81338,13.8019,12.97611,12.14195,13.11172667,13.68253333
1961,13.8019,12.97611,12.14195,12.30966,12.4963,12.74785,13.57581,14.33854,13.71586,13.42891,12.93574,13.74599,13.63544,12.15655,11.82549,13.55406667,13.82777
1962,13.63544,12.15655,11.82549,12.00127,12.5168,13.55406,13.43358,14.06525,13.75096,13.21773,13.84848,13.52301,13.45811,12.19661,12.21183,13.68429667,13.67798
