year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1901,,,,-9.699999,-7.4,-6.8,-2.7,3.8,7.4,12.2,11.3,4.4,2,-4.9,-8.6,-1.9,7.8
1902,2,-4.9,-8.6,-9.8,-9.7,-7.199999,0.3000001,4,9.1,10.4,10.3,5.599999,0.8000001,-5,-10.8,-0.9666663,7.833333333
1903,0.8000001,-5,-10.8,-10.4,-12.8,-6.199999,-0.5,3.5,7.199999,10.7,9,5.699999,-1.8,-7.099999,-12.7,-1.066666333,7.133333
1904,-1.8,-7.099999,-12.7,-12.5,-5.599999,-3.5,-0.8000001,4.1,6.8,10.2,10.8,7,1,-5.9,-8.4,-0.0666667,7.033333333
1905,1,-5.9,-8.4,-9.3,-9.6,-2.6,-0.7,3.6,9.4,11.1,10.5,5.8,1.2,-3.7,-11.5,0.1,8.033333333
1906,1.2,-3.7,-11.5,-11.3,-6.8,-3.5,0.4999999,3.1,7.699999,13,11.1,5.199999,-1.5,-5,-6.800001,0.0333333,7.933333
1907,-1.5,-5,-6.800001,-6.699999,-5.9,-3.6,-1.1,1.7,6.3,11.8,11,5.099999,1.1,-5.8,-10.1,-1,6.6
1908,1.1,-5.8,-10.1,-10.8,-8.4,-4.599999,-0.7,1.3,7.9,12.2,11.4,3.9,-3,-8.199999,-12.7,-1.333333,7.133333333
1909,-3,-8.199999,-12.7,-7.199999,-9,-6.8,-2.7,1,8,12.9,11.9,5.099999,-0.8,-5.3,-14.9,-2.833333333,7.3
1910,-0.8,-5.3,-14.9,-9.8,-11.7,-3.8,-1.7,4,9.3,11.6,11,6.4,0.3,-4.5,-8.6,-0.5,8.3
1911,0.3,-4.5,-8.6,-5.199999,-7,-3.2,0,4,8.2,12.5,10.4,8.3,0.2,-7.3,-13.4,0.266666667,8.233333333
1912,0.2,-7.3,-13.4,-10.5,-9.2,-4.4,-2.7,3.2,7.699999,11.4,10.7,4.3,0,-8.1,-13.1,-1.3,7.433333
1913,0,-8.1,-13.1,-14.4,-9.2,-7.4,-2.1,3.2,8.6,11.8,11.2,5.599999,-0.1,-3.1,-13,-2.1,7.866666667
1914,-0.1,-3.1,-13,-8.1,-8.5,-6.9,-1.2,4.7,8.8,12.6,10.8,7.099999,0.9,-6.199999,-9.7,-1.133333333,8.7
1915,0.9,-6.199999,-9.7,-11.7,-7.699999,-7.5,0.1999999,2.5,7.4,11.9,9.6,6.5,-0.8999999,-7.099999,-9.2,-1.600000033,7.266666667
1916,-0.8999999,-7.099999,-9.2,-7.099999,-6.9,-4.3,-1.6,2.9,7.199999,12.1,10.6,5.3,0.6,-8.9,-11.4,-1,7.399999667
1917,0.6,-8.9,-11.4,-11.2,-10.6,-10.8,-4.6,0.2,6.599999,12.3,9.5,6.199999,-1.7,-6.599999,-9.7,-5.066666667,6.366666333
1918,-1.7,-6.599999,-9.7,-14.1,-8.2,-5.199999,-2.8,2.4,10.2,12.3,9.8,5.199999,0.6,-8.5,-12.6,-1.866666333,8.3
1919,0.6,-8.5,-12.6,-17.6,-12.1,-8.4,-1.1,4,6.3,12.5,9.1,6.4,-0.2,-7.599999,-9.3,-1.833333333,7.6
1920,-0.2,-7.599999,-9.3,-10,-5.9,-8.1,-4.6,3.2,7.599999,11.1,9.2,4.3,-2.3,-8.1,-13,-3.166666667,7.299999667
1921,-2.3,-8.1,-13,-10,-9,-4.9,-4.8,2.8,7.5,11.8,10,5.4,-0.1,-6.9,-6.1,-2.3,7.366666667
1922,-0.1,-6.9,-6.1,-13.7,-9.6,-8.3,-3.1,2.4,9,12.8,11.1,5.5,-2.6,-8,-7.6,-3,8.066666667
1923,-2.6,-8,-7.6,-9.4,-10.1,-8.5,-1.2,3.6,7.9,12.1,10.5,4.099999,-1.7,-6.8,-8.6,-2.033333333,7.866666667
1924,-1.7,-6.8,-8.6,-15.3,-8.5,-9.3,-3.6,3.1,8.5,12.3,9.9,4.099999,-1.5,-6.8,-13.4,-3.266666667,7.966666667
1925,-1.5,-6.8,-13.4,-16.5,-9.1,-6.5,-2.1,5.5,10.2,12.4,10.3,5.8,-0.1,-8.8,-11.2,-1.033333333,9.366666667
1926,-0.1,-8.8,-11.2,-15.3,-8.8,-6.9,-0.7,3.4,8.3,11.4,9.6,7.3,-0.2,-7.4,-10.9,-1.4,7.7
1927,-0.2,-7.4,-10.9,-7.5,-4.6,-7.3,-2.1,2.1,7.8,11.9,9.4,6.199999,-1.4,-5.4,-12.2,-2.433333333,7.266666667
