year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cool.p,warm.p
1901,,,,26.6,33.1,12,17.3,48.3,10.8,99.3,95.2,59.7,53,42.5,5.300001,89,313.3
1902,53,42.5,5.300001,15.1,3.200001,11.7,1.000002,26.2,1.9,40.8,57.1,30.1,3.299999,56.5,34.4,131.800004,156.1
1903,3.299999,56.5,34.4,5.300001,41.4,25,17.2,7,111.4,18,31.8,58,0.7999992,0,1.300001,183.1,226.2
1904,0.7999992,0,1.300001,10.2,16.9,14.9,1.700001,12.2,31.1,40.4,65,72.7,21,2.300001,19.9,45.8000012,221.4
1905,21,2.300001,19.9,49,41.5,13.8,89.7,7.9,45.8,50.7,27.2,29.8,11,78.2,27.8,237.200001,161.4
1906,11,78.2,27.8,10.9,9.900001,35.2,37.6,9.1,7.9,123.9,35.8,67.2,28.6,22.5,49.2,210.600001,243.9
1907,28.6,22.5,49.2,50.5,5.300001,6.199999,54.40001,63,11,51.7,121.1,15.1,43.9,11.3,11.6,216.70001,261.9
1908,43.9,11.3,11.6,32,47,10.7,70.3,19,8.4,80.8,82.5,25.3,9.299999,22.1,15.4,226.8,216
1909,9.299999,22.1,15.4,29.1,22.5,6,18.7,18,11.6,53.9,80.89999,29,14,20.1,26.2,123.099999,193.39999
1910,14,20.1,26.2,21.9,13.8,9.8,25,5.1,12.5,71.7,52.5,12.2,37.7,26.9,13.3,130.8,154
1911,37.7,26.9,13.3,12.4,61.4,12.8,12.9,24.5,45.2,104.5,39,45.3,108.3,36.7,14.8,177.4,258.5
1912,108.3,36.7,14.8,2.900002,35,40.8,22.3,13.2,73.2,78.9,53.8,25,22,0.1000004,8.700001,260.800002,244.1
1913,22,0.1000004,8.700001,18.6,38.2,13.8,30,2.900002,93,15.7,41.5,55.3,1.299999,38.9,43.2,131.4000014,208.400002
1914,1.299999,38.9,43.2,11.9,10.2,4.699999,23.7,47.1,45.2,110.9,93.6,16.4,70.3,0,48.9,133.899998,313.2
1915,70.3,0,48.9,27.4,31,23.8,78.5,32.8,21.6,100.5,57.9,38.8,9.5,9.099999,25.9,279.9,251.6
