year,poct,pnov,pdec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cool.pdsi,warm.pdsi
1850,NA,NA,NA,0.8714403,1.54375,1.505093,-0.1716563,-0.4552714,-0.7661805,-2.199346,-3.577523,-3.848255,-3.686514,0.4122616,1.202024,NA,NA
1851,-3.686514,0.4122616,1.202024,0.4466869,1.418098,-0.4894501,-0.4872735,-0.4899586,-0.9789852,-1.335381,0.4250696,0.6832947,-0.9172901,-1.031922,-0.9917628,-0.169166729,-0.3391921
1852,-0.9172901,-1.031922,-0.9917628,-1.20172,-1.60826,-2.379132,-2.165784,-2.696894,-2.85679,-3.891572,2.988882,2.456665,2.560525,2.614132,2.490207,-1.4708387,-0.7999418
1853,2.560525,2.614132,2.490207,-0.2272682,-0.1699938,-0.3526628,-0.8246389,-0.9745448,0.1242136,4.918304,5.623953,5.230629,4.595259,3.998955,3.561016,0.8700429,2.98451096
1854,4.595259,3.998955,3.561016,3.112215,2.487992,2.354927,2.283453,2.232753,1.621104,2.14316,2.237183,3.139612,3.219068,3.846614,3.66142,3.199116714,2.2747624
1855,3.219068,3.846614,3.66142,3.263976,2.778093,2.376405,2.249475,2.008056,1.952273,1.804886,2.798334,4.045326,3.223448,3.611384,3.582715,3.056435857,2.521775
1856,3.223448,3.611384,3.582715,3.524905,3.570748,3.894457,3.799691,3.435322,3.466567,2.342331,3.159599,3.164053,2.715595,2.925668,2.616629,3.601049714,3.1135744
1857,2.715595,2.925668,2.616629,2.813541,-9.06E-02,-0.5136473,-0.5105042,-0.7945812,-1.1205,-1.820837,-2.266936,-1.911056,-0.9953107,-1.22403,-1.465339,1.42238519,-1.58278204
1858,-0.9953107,-1.22403,-1.465339,-2.405492,-2.228492,-2.10255,0.7752802,-0.888767,1.376148,2.174319,2.6082,-0.4428756,-0.7360948,-0.7554484,-0.4539087,-1.3779905,0.96540488
1859,-0.7360948,-0.7554484,-0.4539087,-0.5372168,-0.4907145,-0.5293115,-0.7384393,-1.992425,-2.357076,-2.900378,0.3543491,2.15676,-0.2380703,-0.409571,-0.5648922,-0.605876286,-0.94775398
