"Site.Name","Year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Austin Cary FL","1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8192561810958,9.50256525981506,17.4387436403773,19.599116861401,24.1514470519689,27.1307256818117,27.6482714294878,27.8614715522517,26.0346655088603,20.8004451342819,16.7636417434518,12.0943927633885
"Austin Cary FL","1896",13.8192561810958,9.50256525981506,17.4387436403773,19.599116861401,24.1514470519689,27.1307256818117,27.6482714294878,27.8614715522517,26.0346655088603,20.8004451342819,16.7636417434518,12.0943927633885,11.9691273405934,13.2680015041193,16.4523392860695,20.8014969880729,25.3644487476534,26.8396105833622,27.9145034178797,28.1090945250933,26.064583631765,20.7172948987916,19.8416153458583,12.5522224915713
"Austin Cary FL","1897",11.9691273405934,13.2680015041193,16.4523392860695,20.8014969880729,25.3644487476534,26.8396105833622,27.9145034178797,28.1090945250933,26.064583631765,20.7172948987916,19.8416153458583,12.5522224915713,11.4471567606918,16.4089788846829,20.7394443825298,20.3663470306666,23.5788332838818,28.5429614348885,27.9176040759109,27.7322237841909,24.2903836490228,21.5313219303842,18.3091973437201,14.5472767880436
"Austin Cary FL","1898",11.4471567606918,16.4089788846829,20.7394443825298,20.3663470306666,23.5788332838818,28.5429614348885,27.9176040759109,27.7322237841909,24.2903836490228,21.5313219303842,18.3091973437201,14.5472767880436,15.0677879324094,12.9768344903852,19.0545204861861,19.1144102374458,24.5342034819834,27.5231264755299,27.9705256962841,27.293699646646,26.3776212535095,21.0791715919117,17.3097490029418,12.1828673626727
"Austin Cary FL","1899",15.0677879324094,12.9768344903852,19.0545204861861,19.1144102374458,24.5342034819834,27.5231264755299,27.9705256962841,27.293699646646,26.3776212535095,21.0791715919117,17.3097490029418,12.1828673626727,13.4894786626853,12.6791622424441,18.0689549495768,18.8542647984786,25.9933220693488,27.3679608859274,27.5121212749938,28.2220648859919,25.2200840961225,22.1553442946915,17.6994784636162,12.957859759175
"Austin Cary FL","1900",13.4894786626853,12.6791622424441,18.0689549495768,18.8542647984786,25.9933220693488,27.3679608859274,27.5121212749938,28.2220648859919,25.2200840961225,22.1553442946915,17.6994784636162,12.957859759175,11.5086555180636,13.0136355190409,16.5298242517841,20.2445500898851,23.8536949055958,26.5880569877911,28.5698738710782,28.5473338628427,26.8691711817523,23.9750063354699,17.2643356147534,13.5678477274948
"Austin Cary FL","1901",11.5086555180636,13.0136355190409,16.5298242517841,20.2445500898851,23.8536949055958,26.5880569877911,28.5698738710782,28.5473338628427,26.8691711817523,23.9750063354699,17.2643356147534,13.5678477274948,13.2816914116723,11.9123016541647,15.8506404459404,17.9368751996438,23.9587402732378,25.8839984851875,27.5475869787834,26.6932112307597,25.5977820240879,21.2434061473918,13.5528677153508,12.2876304515871
"Austin Cary FL","1902",13.2816914116723,11.9123016541647,15.8506404459404,17.9368751996438,23.9587402732378,25.8839984851875,27.5475869787834,26.6932112307597,25.5977820240879,21.2434061473918,13.5528677153508,12.2876304515871,11.610666892655,11.2258395773548,17.5863175068842,19.5869057598662,25.623041444081,26.9747467134204,27.862971817374,27.4892236621803,26.0258020820745,22.9019237068665,19.4839830993498,14.7630571407225
"Austin Cary FL","1903",11.610666892655,11.2258395773548,17.5863175068842,19.5869057598662,25.623041444081,26.9747467134204,27.862971817374,27.4892236621803,26.0258020820745,22.9019237068665,19.4839830993498,14.7630571407225,12.1357339105879,15.7680342182928,20.2734243557975,18.668663051533,23.1298676052289,25.6311983186524,27.1203076372411,27.7650256345185,25.1918714957895,20.4569499604507,15.9478622220791,9.73500627720917
"Austin Cary FL","1904",12.1357339105879,15.7680342182928,20.2734243557975,18.668663051533,23.1298676052289,25.6311983186524,27.1203076372411,27.7650256345185,25.1918714957895,20.4569499604507,15.9478622220791,9.73500627720917,11.2213995926216,14.8252300775621,19.1783035883074,19.3007297286909,23.5298468557158,25.941560339297,26.6344209888072,26.3843715470304,25.7285030131943,21.8607400886901,15.3619772952482,13.147940248344
"Austin Cary FL","1905",11.2213995926216,14.8252300775621,19.1783035883074,19.3007297286909,23.5298468557158,25.941560339297,26.6344209888072,26.3843715470304,25.7285030131943,21.8607400886901,15.3619772952482,13.147940248344,10.3143078152895,12.6948117264677,18.5751706518682,20.1451522428109,25.6647429682574,26.4227456838579,27.3382404156497,27.0675581144321,26.6596263326699,21.9406972596839,18.191087978927,12.9435541687704
"Austin Cary FL","1906",10.3143078152895,12.6948117264677,18.5751706518682,20.1451522428109,25.6647429682574,26.4227456838579,27.3382404156497,27.0675581144321,26.6596263326699,21.9406972596839,18.191087978927,12.9435541687704,13.5919475322603,13.5467459333397,16.3280506151996,20.2878560047129,23.5524583725103,27.147085056717,27.0352425455847,27.6847682276966,27.1181548553313,20.6747790282575,18.0756327937419,13.6803969063719
