"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"1","TP1003E",1898,2012,115,0.526,0.423,0.396,1.815,0.388,0.364,0.37,0.646
"2","TP1003N",1901,2012,112,0.482,0.394,0.35,1.442,0.391,0.315,0.38,0.805
"3","TP1003S",1904,2012,109,0.515,0.486,0.313,0.971,0.346,0.334,0.328,0.645
"4","TP1008N",1925,2012,88,0.469,0.436,0.278,0.631,0.402,0.34,0.329,0.663
"5","TP1008W",1924,2012,89,0.529,0.39,0.391,1.23,0.376,0.289,0.385,0.804
"6","TP1008S",1906,1966,61,0.339,0.338,0.178,0.177,0.461,0.418,0.299,0.454
"7","TP1015N",1897,2012,116,0.62,0.54,0.389,1.874,0.301,0.265,0.311,0.842
"8","TP1015E",1897,2012,116,0.688,0.665,0.319,0.598,0.309,0.285,0.256,0.628
"9","TP1015S",1920,2012,93,0.606,0.591,0.355,1.044,0.323,0.277,0.312,0.733
"10","TP1031N",1899,2012,114,0.776,0.671,0.558,1.56,0.304,0.303,0.37,0.714
"11","TP1031S",1899,2012,114,0.736,0.674,0.542,1.493,0.289,0.267,0.383,0.744
"12","TP1031W",1897,2012,116,0.608,0.428,0.584,2.272,0.34,0.285,0.448,0.78
"13","TP1038N",1932,2012,81,0.686,0.542,0.922,4.846,0.357,0.454,0.465,0.573
"14","TP1038E",1943,2012,70,0.47,0.404,0.342,1.081,0.285,0.278,0.389,0.835
"15","TP1038S",1914,2012,99,0.694,0.627,0.341,0.091,0.291,0.273,0.279,0.674
"16","TP2003W",1929,2013,85,0.69,0.398,0.73,1.277,0.597,0.38,0.55,0.829
"17","TP2003N",1929,2013,85,0.604,0.316,0.74,2.111,0.576,0.432,0.575,0.789
"18","TP2003S",1929,2013,85,0.82,0.362,0.878,1.105,0.523,0.342,0.562,0.837
"19","TP2007N",1929,2013,85,0.621,0.432,0.65,2.369,0.49,0.41,0.494,0.718
"20","TP2007S",1929,2013,85,0.55,0.386,0.642,2.733,0.562,0.44,0.523,0.729
"21","TP2007E",1929,2013,85,0.61,0.481,0.611,2.935,0.476,0.408,0.442,0.697
"22","TP2007W",1929,2013,85,0.545,0.312,0.591,2.527,0.461,0.411,0.496,0.739
"23","TP2013N",1934,2013,80,0.691,0.465,0.63,1.392,0.45,0.294,0.468,0.893
"24","TP2013S",1934,2013,80,0.601,0.346,0.579,1.432,0.505,0.373,0.493,0.846
"25","TP2013E",1936,2013,78,0.605,0.373,0.635,1.699,0.428,0.293,0.519,0.85
"26","TP2013W",1936,2013,78,0.66,0.413,0.643,1.53,0.438,0.249,0.494,0.874
"27","TP2015E",1931,2013,83,0.608,0.46,0.484,0.947,0.463,0.289,0.428,0.809
"28","TP2015W",1931,2013,83,0.717,0.567,0.572,1.01,0.437,0.306,0.43,0.801
"29","TP2015N",1931,2013,83,0.67,0.537,0.501,0.833,0.412,0.23,0.41,0.897
"30","TP2015S",1931,2013,83,0.647,0.529,0.498,1.189,0.415,0.309,0.402,0.848
"31","TP2016N",1930,2013,84,0.587,0.334,0.749,2.592,0.428,0.302,0.568,0.799
"32","TP2016S",1930,2013,84,0.534,0.282,0.692,2.784,0.515,0.331,0.563,0.791
"33","TP2016E",1929,2013,85,0.542,0.358,0.596,2.177,0.506,0.336,0.521,0.844
"34","TP2016W",1929,2013,85,0.519,0.311,0.601,2.044,0.39,0.33,0.55,0.867
"35","TP2020N",1929,2013,85,0.489,0.281,0.539,1.239,0.341,0.311,0.561,0.894
"36","TP2020S",1929,2013,85,0.51,0.216,0.632,1.345,0.368,0.358,0.623,0.878
"37","TP2020E",1930,1999,70,0.578,0.292,0.598,1.252,0.352,0.346,0.524,0.824
"38","TP2020W",1930,2000,71,0.623,0.395,0.63,1.144,0.568,0.337,0.534,0.848
"39","TP2021S",1937,2013,77,0.63,0.428,0.662,1.694,0.575,0.291,0.519,0.872
"40","TP2021E",1934,2013,80,0.849,0.603,0.79,1.528,0.378,0.259,0.473,0.911
"41","TP2021W",1934,2013,80,0.885,0.666,0.749,1.82,0.329,0.253,0.413,0.912
"42","TP2028N",1929,2013,85,0.641,0.459,0.715,1.74,0.311,0.238,0.563,0.893
"43","TP2028S",1929,2013,85,0.647,0.446,0.738,1.919,0.402,0.281,0.567,0.862
"44","TP2028E",1929,2013,85,0.676,0.491,0.712,1.596,0.4,0.282,0.539,0.881
"45","TP2030W",1933,2005,73,0.6,0.408,0.493,1.611,0.35,0.304,0.413,0.775
"46","TP2030E",1930,2003,74,0.654,0.466,0.559,1.908,0.431,0.374,0.423,0.77
"47","TP2030S",1929,2013,85,0.572,0.406,0.541,1.765,0.375,0.363,0.472,0.794
"48","TP2030N",1929,2013,85,0.511,0.399,0.451,1.501,0.386,0.383,0.455,0.763
"49","TP2035N",1935,2013,79,1.212,1.205,0.384,0.337,0.237,0.221,0.175,0.6
"50","TP2035S",1935,2013,79,1.163,1.024,0.464,0.688,0.288,0.278,0.221,0.616
"51","TP2035E",1936,2013,78,1.156,1.125,0.441,0.73,0.247,0.241,0.209,0.663
"52","TP2043S",1940,2013,74,0.546,0.46,0.374,1.806,0.444,0.371,0.351,0.66
"53","TP2043E",1937,2013,77,0.519,0.382,0.456,1.597,0.514,0.402,0.447,0.75
"54","TP2050N",1930,2013,84,0.636,0.546,0.318,1.495,0.346,0.319,0.255,0.584
"55","TP2050S",1930,2013,84,0.543,0.484,0.315,1.811,0.286,0.276,0.296,0.71
"56","TP2050E",1933,2013,81,0.52,0.474,0.25,0.783,0.341,0.313,0.264,0.648
"57","TP2050W",1933,2013,81,0.567,0.507,0.264,0.601,0.353,0.332,0.26,0.586
"58","TP2076N",1940,2014,75,1.14,0.662,1.058,0.882,0.362,0.231,0.495,0.913
"59","TP2076S",1940,2014,75,0.737,0.535,0.547,1.818,0.29,0.271,0.365,0.788
"60","TP1001W",1957,2012,56,1.382,1.364,0.411,0.179,0.282,0.276,0.169,0.226
"61","TP1001E",1955,2012,58,1.464,1.434,0.5,0.586,0.283,0.289,0.19,0.412
"62","TP1001S",1955,2012,58,1.5,1.519,0.434,0.218,0.279,0.268,0.158,0.236
"63","TP1006N",1952,2012,61,0.799,0.747,0.399,1.612,0.396,0.412,0.255,0.133
"64","TP1006S",1951,2012,62,0.811,0.698,0.448,1.427,0.353,0.372,0.285,0.441
"65","TP1006E",1956,2012,57,0.884,0.854,0.291,0.993,0.26,0.261,0.178,0.464
"66","TP1007N",1953,2012,60,0.698,0.641,0.322,0.658,0.327,0.297,0.252,0.54
"67","TP1007W",1952,2012,61,0.678,0.638,0.292,0.909,0.296,0.283,0.229,0.296
"68","TP1007E",1952,2012,61,0.812,0.746,0.353,1.038,0.296,0.283,0.229,0.494
"69","TP1020N",1954,2012,59,0.852,0.815,0.332,0.437,0.287,0.279,0.216,0.551
"70","TP1020W",1955,2012,58,0.841,0.841,0.298,0.224,0.307,0.3,0.195,0.356
"71","TP1020S",1949,2012,64,0.808,0.765,0.349,0.947,0.302,0.306,0.232,0.49
"72","TP1024N",1904,2012,109,1.559,1.583,0.512,-0.198,0.184,0.164,0.186,0.78
"73","TP1024W",1918,2012,95,1.59,1.486,0.692,0.085,0.214,0.181,0.249,0.852
"74","TP1024E",1920,2012,93,1.714,1.708,0.847,0.441,0.255,0.205,0.276,0.802
"75","TP2001W",1930,2013,84,1.161,0.803,0.959,0.573,0.433,0.262,0.459,0.881
"76","TP2001S",1936,2013,78,0.979,0.576,0.943,0.997,0.377,0.247,0.513,0.891
