"TreeID","DBH","Site","Pith","Age"
"VLF001",22.9,"PP",1953,58
"VLF002",12.1,"PP",NA,NA
"VLF003",15.9,"PP",NA,NA
"VLF004",24.8,"PP",1934,77
"VLF005",21.2,"PP",1937,74
"VLF006",13.2,"PP",NA,NA
"VLF007",26.7,"PP",1935,76
"VLF008",21.1,"PP",1939,72
"VLF009",28.1,"PP",1945,66
"VLF010",21.7,"PP",1942,69
"VLF011",28.9,"PP",1935,76
"VLF012",26,"PP",1943,68
"VLF013",15.5,"PP",NA,NA
"VLF014",20.4,"PP",NA,NA
"VLF015",23.6,"PP",1948,63
"VLF016",27.4,"PP",1948,63
"VLF017",19,"PP",1951,60
"VLF018",31.9,"PP",1942,69
"VLF019",20.9,"PP",1950,61
"VLF020",19.5,"PP",1948,63
"VLF021",14.2,"PP",1946,65
"VLF022",26.3,"PP",1943,68
"VLF023",19,"PP",1948,63
"VLF024",10.2,"PP",NA,NA
"VLF025",34,"PP",1943,68
"VLF051",24.3,"PP",1944,67
"VLF052",29.1,"PP",1947,64
"VLF053",20.4,"PP",1945,66
"VLF054",10.8,"PP",1948,63
"VLF055",10.7,"PP",1944,67
"VLF056",16.5,"PP",NA,NA
"VLF057",32,"PP",1944,67
"VLF058",22.3,"PP",1948,63
"VLF059",25.2,"PP",1946,65
"VLF060",16.5,"PP",NA,NA
"VLF061",34,"PP",1946,65
"VLF062",18.4,"PP",1943,68
"VLF063",10.2,"PP",1943,68
"VLF064",30.1,"PP",1938,73
"VLF065",19.4,"PP",1931,80
"VLF066",17.5,"PP",1942,69
"VLF067",24.3,"PP",1934,77
"VLF068",14.1,"PP",1948,63
"VLF069",21.4,"PP",1938,73
"VLF070",14.5,"PP",1943,68
"VLF071",11.2,"PP",NA,NA
"VLF072",31,"PP",1946,65
"VLF073",11.7,"PP",1946,65
"VLF074",27.2,"PP",1939,72
"VLF075",26.2,"PP",1937,74
"VLF101",27.5,"PP",1942,69
"VLF102",36,"PP",1939,72
"VLF103",23.5,"PP",NA,NA
"VLF104",32.5,"PP",1937,74
"VLF105",31.5,"PP",1939,72
"VLF106",39,"PP",1946,65
"VLF107",25,"PP",1946,65
"VLF108",33.5,"PP",1942,69
"VLF109",34.5,"PP",1937,74
"VLF110",11,"PP",NA,NA
"VLF111",16.5,"PP",NA,NA
"VLF112",24,"PP",1943,68
"VLF113",27,"PP",1945,66
"VLF114",36.5,"PP",1938,73
"VLF115",28,"PP",1948,63
"VLF116",17.8,"PP",1944,67
"VLF117",11.7,"PP",1938,73
"VLF118",22.5,"PP",1934,77
"VLF119",21.2,"PP",1943,68
"VLF120",22,"PP",1943,68
"VLF121",30,"PP",1938,73
"VLF122",22.5,"PP",1939,72
"VLF123",40.3,"PP",1925,86
"VLF124",16.7,"PP",1958,53
"VLF125",34,"PP",1960,51
"VLF126",23,"PP",1956,55
"VLF127",40.4,"PP",1945,66
"VLF128",31.8,"PP",1947,64
"VLF129",27,"PP",1937,74
"VLF130",30.4,"PP",1938,73
"VLF131",21.3,"PP",NA,NA
"VLF132",17.4,"PP",1948,63
"VLF133",18.6,"PP",1943,68
"VLF134",32.2,"PP",1940,71
"VLF135",20.2,"PP",1951,60
"VLF136",25.5,"PP",1934,77
"VLF137",17,"PP",1932,79
"VLF138",15.8,"PP",1935,76
"VLF139",25.3,"PP",1934,77
"VLF140",31.8,"PP",1922,89
"VLF141",38.2,"PP",1956,55
"VLF142",27.2,"PP",1940,71
"VLF143",37.9,"PP",1938,73
"VLF144",13.1,"PP",NA,NA
"VLF145",40.5,"PP",1934,77
"VLF146",23.5,"PP",1948,63
"VLF147",18.3,"PP",1943,68
"VLF148",16,"PP",NA,NA
"VLF149",18.6,"PP",1945,66
"VLF150",39.8,"PP",1927,84
"VUF001",37.1,"MC",1923,88
"VUF002",34.8,"MC",1929,82
"VUF003",29.3,"MC",1931,80
"VUF004",17.8,"MC",1948,63
"VUF005",25,"MC",1932,79
"VUF006",16.1,"MC",1933,78
"VUF007",15.7,"MC",1939,72
"VUF008",10.8,"MC",1946,65
"VUF009",13.4,"MC",1932,79
"VUF010",26.9,"MC",1932,79
"VUF011",28.8,"MC",1929,82
"VUF012",12.3,"MC",1943,68
"VUF013",27.1,"MC",1939,72
"VUF014",10.3,"MC",NA,NA
"VUF015",22.4,"MC",1950,61
"VUF016",13.6,"MC",1948,63
"VUF017",53.6,"MC",1924,87
"VUF018",17.4,"MC",1935,76
"VUF019",8.8,"MC",1946,65
"VUF020",14.6,"MC",1936,75
"VUF021",29,"MC",1933,78
"VUF022",11.7,"MC",1942,69
"VUF023",33,"MC",1930,81
"VUF024",34.8,"MC",1922,89
"VUF025",25.2,"MC",1943,68
"VUF026",17,"MC",1944,67
"VUF027",25.3,"MC",NA,NA
"VUF028",11.1,"MC",1965,46
"VUF029",19.7,"MC",1942,69
"VUF030",21.6,"MC",1957,54
"VUF031",13,"MC",1943,68
"VUF032",25,"MC",1938,73
"VUF033",10.5,"MC",NA,NA
"VUF034",17.3,"MC",1935,76
"VUF035",7.7,"MC",NA,NA
"VUF036",13.2,"MC",1939,72
"VUF037",16,"MC",1933,78
"VUF038",34.5,"MC",1939,72
"VUF039",44.3,"MC",1922,89
"VUF040",46.3,"MC",1929,82
"VUF041",27,"MC",1937,74
"VUF042",40.2,"MC",1923,88
"VUF043",21.6,"MC",NA,NA
"VUF044",20.9,"MC",1934,77
"VUF045",24.9,"MC",1931,80
"VUF046",11.3,"MC",1944,67
"VUF047",7,"MC",1942,69
"VUF048",19,"MC",1956,55
"VUF049",27.8,"MC",1956,55
"VUF050",12.2,"MC",NA,NA
"VUF101",33.9,"MC",1929,82
"VUF102",18.6,"MC",1932,79
"VUF103",9.1,"MC",NA,NA
"VUF104",15.2,"MC",1932,79
"VUF105",13,"MC",1934,77
"VUF106",13.2,"MC",1933,78
"VUF107",23,"MC",1934,77
"VUF108",22.5,"MC",1930,81
"VUF109",35,"MC",1927,84
"VUF110",26.1,"MC",1930,81
"VUF111",25.8,"MC",1932,79
"VUF112",22.4,"MC",1931,80
"VUF113",11,"MC",NA,NA
"VUF114",14,"MC",1937,74
"VUF115",15.7,"MC",1934,77
"VUF116",16,"MC",1937,74
"VUF117",18.2,"MC",NA,NA
"VUF118",19.3,"MC",NA,NA
"VUF119",16.9,"MC",1931,80
"VUF120",14.3,"MC",NA,NA
"VUF121",19.8,"MC",NA,NA
"VUF122",10.7,"MC",1928,83
"VUF123",8.1,"MC",NA,NA
"VUF124",8.8,"MC",NA,NA
"VUF125",7.3,"MC",1939,72
"VUF126",10.1,"MC",NA,NA
"VUF127",35.6,"MC",NA,NA
"VUF128",33.8,"MC",NA,NA
"VUF129",21.1,"MC",1936,75
"VUF130",15.5,"MC",1936,75
"VUF131",15.1,"MC",NA,NA
"VUF132",15.2,"MC",1932,79
"VUF133",25.6,"MC",1922,89
"VUF134",23.1,"MC",NA,NA
"VUF135",9.1,"MC",1938,73
"VUF136",10,"MC",1933,78
"VUF137",35.5,"MC",1928,83
"VUF138",10,"MC",1931,80
"VUF139",33.6,"MC",NA,NA
"VUF140",31.7,"MC",1936,75
"VUF141",12.8,"MC",NA,NA
"VUF142",6.8,"MC",1971,40
"VUF143",15.8,"MC",1932,79
"VUF144",36.6,"MC",1927,84
"VUF145",14.9,"MC",1937,74
"VUF146",12.4,"MC",1941,70
"VUF147",23.6,"MC",1943,68
"VUF148",23.1,"MC",1935,76
"VUF149",32,"MC",1931,80
"VUF150",15.7,"MC",NA,NA
"VUF151",22.7,"MC",1938,73
